開放漢語詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］
斷弦	断弦	duan4 xian2
鍛造	锻造	duan4 zao4
斷章取義	断章取义	duan4 zhang1 qu3 yi4
緞子	缎子	duan4 zi5
堆積	堆积	dui1 ji1
堆積如山	堆积如山	dui1 ji1 ru2 shan1
堆起來	堆起来	dui1 qi3 lai2
對白	对白	dui4 bai2
對比	对比	dui4 bi3
對不對	对不对	dui4 bu5 dui4
對不起	对不起	dui4 bu5 qi3
對待	对待	dui4 dai4
對得數	对得数	dui4 de2 shu4
對方付費	对方付费	dui4 fang1 fu4 fei4
對話	对话	dui4 hua4
兌換	兑换	dui4 huan4
對襟	对襟	dui4 jin1
對勁	对劲	dui4 jin4
對決	对决	dui4 jue2
對壘	对垒	dui4 lei3
對立	对立	dui4 li4
對面	对面	dui4 mian4
對牛彈琴	对牛弹琴	dui4 niu2 tan2 qin2
對偶	对偶	dui4 ou3
對耦	对耦	dui4 ou3
對事不對人	对事不对人	dui4 shi4 bu2 dui4 ren2
對手	对手	dui4 shou3
對外	对外	dui4 wai4
隊伍	队伍	dui4 wu3
兌現	兑现	dui4 xian4
兌現承諾	兑现承诺	dui4 xian4 cheng2 nuo4
對象	对象	dui4 xiang4
對弈	对弈	dui4 yi4
隊友	队友	dui4 you3
對於	对于	dui4 yu2
隊員	队员	dui4 yuan2
對症下藥	对症下药	dui4 zheng4 xia4 yao4
對峙	对峙	dui4 zhi4
蹲膘	蹲膘	dun1 biao1
蹲膘兒	蹲膘儿	dun1 biao1 er5
敦促	敦促	dun1 cu4
惇篤	惇笃	dun1 du2
敦厚	敦厚	dun1 hou4
敦煌	敦煌	dun1 huang2
惇樸	惇朴	dun1 pu3
蹲下	蹲下	dun1 xia4
蹲坐	蹲坐	dun1 zuo4
遁跡	遁迹	dun4 ji4
盾牌	盾牌	dun4 pai2
頓首	顿首	dun4 shou3
多才多藝	多才多艺	duo1 cai2 duo1 yi4
多大	多大	duo1 da4
咄咄	咄咄	duo1 duo1
咄咄逼人	咄咄逼人	duo1 duo1 bi1 ren2
咄咄稱奇	咄咄称奇	duo1 duo1 cheng1 qi2
咄咄怪事	咄咄怪事	duo1 duo1 guai4 shi4
哆哆嗦嗦	哆哆嗦嗦	duo1 duo1 suo1 suo1
多方面	多方面	duo1 fang1 mian4
多寡	多寡	duo1 gua3
多會兒	多会儿	duo1 hui5 er5
多久	多久	duo1 jiu3
多勞多得	多劳多得	duo1 lao2 duo1 de2
多麼	多么	duo1 me5
多媒體	多媒体	duo1 mei2 ti3
多年	多年	duo1 nian2
多如牛毛	多如牛毛	duo1 ru2 niu2 mao2
多少	多少	duo1 shao3
掇拾	掇拾	duo1 shi2
多事之秋	多事之秋	duo1 shi4 zhi1 qiu1
哆嗦	哆嗦	duo1 suo1
多行不義必自斃	多行不义必自毙	duo1 xing2 bu2 yi4 bi4 zi4 bi4
多言必敗	多言必败	duo1 yan2 bi4 bai4
多一事不如少一事	多一事不如少一事	duo1 yi2 shi4 bu4 ru2 shao3 yi2 shi4
多一事不如少一事	多一事不如少一事	duo1 yi2 shi4 bu4 ru2 shao3 yi2 shi4
多一事不如省一事	多一事不如省一事	duo1 yi2 shi4 bu4 ru2 sheng3 yi2 shi4
多一點	多一点	duo1 yi4 dian3
多於	多于	duo1 yu2
多餘	多余	duo1 yu2
多元	多元	duo1 yuan2
多遠	多远	duo1 yuan3
多雲	多云	duo1 yun2
多咱	多咱	duo1 zan5
多種	多种	duo1 zhong3
多姿多彩	多姿多彩	duo1 zi1 duo1 cai3
踱步	踱步	duo2 bu4
奪得	夺得	duo2 de2
度德量力	度德量力	duo2 de2 liang4 li4
奪冠	夺冠	duo2 guan4
奪取	夺取	duo2 qu3
奪走	夺走	duo2 zou3
躲避	躲避	duo3 bi4
躲藏	躲藏	duo3 cang2
跺腳	跺脚	duo4 jiao3
墮落	堕落	duo4 luo4
剁肉	剁肉	duo4 rou4
舵手	舵手	duo4 shou3
墮胎	堕胎	duo4 tai1
阿彌陀佛	阿弥陀佛	e1 mi2 tuo2 fo2
婀娜多姿	婀娜多姿	e1 nuo2 duo1 zi1
阿其所好	阿其所好	e1 qi2 suo3 hao3
阿諛	阿谀	e1 yu2
訛傳	讹传	e2 chuan2
訛舛	讹舛	e2 chuan3
訛奪	讹夺	e2 duo2
莪蒿	莪蒿	e2 hao1
訛賴	讹赖	e2 lai4
鵝卵石	鹅卵石	e2 luan3 shi2
鵝毛	鹅毛	e2 mao2
峨嵋山	峨嵋山	e2 mei2 shan1
訛謬	讹谬	e2 miu4
鵝蹼	鹅蹼	e2 pu3
訛錢	讹钱	e2 qian2
訛人	讹人	e2 ren2
鵝絨	鹅绒	e2 rong2
額頭	额头	e2 tou2
訛脫	讹脱	e2 tuo1
額外	额外	e2 wai4
訛誤	讹误	e2 wu4
訛誤	讹误	e2 wu4
訛詐	讹诈	e2 zha4
訛詐錢財	讹诈钱财	e2 zha4 qian2 cai2
訛字	讹字	e2 zi4
噁心	恶心	e3 xin1
惡霸	恶霸	e4 ba4
惡臭	恶臭	e4 chou4
惡毒	恶毒	e4 du2
餓肚	饿肚	e4 du4
惡感	恶感	e4 gan3
惡搞	恶搞	e4 gao3
顎骨	颚骨	e4 gu3
惡果	恶果	e4 guo3
惡化	恶化	e4 hua4
惡劣	恶劣	e4 lie4
惡劣天氣	恶劣天气	e4 lie4 tian1 qi4
噩夢	噩梦	e4 meng4
惡夢	恶梦	e4 meng4
惡名昭彰	恶名昭彰	e4 ming2 zhao1 zhang1
惡魔	恶魔	e4 mo2
惡少	恶少	e4 shao4
惡實	恶实	e4 shi2
餓死	饿死	e4 si3
餓死鬼投胎	饿死鬼投胎	e4 si3 gui3 tou2 tai1
扼腕	扼腕	e4 wan4
惡性	恶性	e4 xing4
惡性循環	恶性循环	e4 xing4 xun2 huan2
惡言	恶言	e4 yan2
惡言詈罵	恶言詈骂	e4 yan2 li4 ma4
惡意	恶意	e4 yi4
惡有惡報	恶有恶报	e4 you3 e4 bao4
鱷魚	鳄鱼	e4 yu2
噩兆	噩兆	e4 zhao4
遏止	遏止	e4 zhi3
遏制	遏制	e4 zhi4
惡作劇	恶作剧	e4 zuo4 ju4
恩愛	恩爱	en1 ai4
恩寵	恩宠	en1 chong3
恩仇	恩仇	en1 chou2
恩賜	恩赐	en1 ci4
恩德	恩德	en1 de2
恩典	恩典	en1 dian3
恩公	恩公	en1 gong1
恩光	恩光	en1 guang1
恩惠	恩惠	en1 hui4
恩將仇報	恩将仇报	en1 jiang1 chou2 bao4
恩禮有加	恩礼有加	en1 li3 you3 jia1
恩情	恩情	en1 qing2
恩人	恩人	en1 ren2
恩赦	恩赦	en1 she4
恩深義重	恩深义重	en1 shen1 yi4 zhong4
恩師	恩师	en1 shi1
恩同再造	恩同再造	en1 tong2 zai4 zao4
恩威並用	恩威并用	en1 wei1 bing4 yong4
恩物	恩物	en1 wu4
恩義	恩义	en1 yi4
恩怨	恩怨	en1 yuan4
恩怨分明	恩怨分明	en1 yuan4 fen1 ming2
恩澤	恩泽	en1 ze2
恩重如山	恩重如山	en1 zhong4 ru2 shan1
兒化	儿化	er2 hua4
兒化音	儿化音	er2 hua4 yin1
兒女親家	儿女亲家	er2 nv3 qing4 jia1
而且	而且	er2 qie3
兒孫	儿孙	er2 sun1
兒童	儿童	er2 tong2
兒媳	儿媳	er2 xi2
兒媳婦	儿媳妇	er2 xi2 fu5
兒媳婦兒	儿媳妇儿	er2 xi2 fu5 er5
而已	而已	er2 yi3
兒子	儿子	er2 zi5
耳邊風	耳边风	er3 bian1 feng1
耳聰目明	耳聪目明	er3 cong1 mu4 ming2
耳朵	耳朵	er3 duo5
耳根清靜	耳根清静	er3 gen1 qing1 jing4
耳垢	耳垢	er3 gou4
耳摑子	耳掴子	er3 guai1 zi5
耳環	耳环	er3 huan2
耳機	耳机	er3 ji1
耳尖	耳尖	er3 jian1
耳鳴	耳鸣	er3 ming2
耳璩	耳璩	er3 qu2
耳塞	耳塞	er3 sai1
耳塞子	耳塞子	er3 sai1 zi5
耳熟能詳	耳熟能详	er3 shu2 neng2 xiang2
耳聞為虛，眼見為實	耳闻为虚，眼见为实	er3 wen2 wei2 xu1 yan3 jian4 wei2 shi2
爾雅	尔雅	er3 ya3
爾虞我詐	尔虞我诈	er3 yu2 wo3 zha4
二苯胺	二苯胺	er4 ben3 an4
二茬稻	二茬稻	er4 cha2 dao4
二成	二成	er4 cheng2
二疊紀	二叠纪	er4 die2 ji4
二兒	二儿	er4 er2
二甲醚	二甲醚	er4 jia3 mi2
二年級	二年级	er4 nian2 ji2
二人轉	二人转	er4 ren2 zhuan3
二人轉	二人转	er4 ren2 zhuan4
二十八宿	二十八宿	er4 shi2 ba1 xiu4
二手車	二手车	er4 shou3 che1
二手煙	二手烟	er4 shou3 yan1
二頭肌	二头肌	er4 tou2 ji1
二氧化碳	二氧化碳	er4 yang3 hua4 tan4
二一添作五	二一添作五	er4 yi1 tian1 zuo4 wu3
二月	二月	er4 yue4
二者不可得兼	二者不可得兼	er4 zhe3 bu4 ke3 de2 jian1
發表	发表	fa1 biao3
發表演說	发表演说	fa1 biao3 yan3 shuo1
發佈	发布	fa1 bu4
發佈會	发布会	fa1 bu4 hui4
發臭	发臭	fa1 chou4
發怵	发怵	fa1 chu4
發憷	发憷	fa1 chu4
發達	发达	fa1 da2
發達國家	发达国家	fa1 da2 guo2 jia1
發大水	发大水	fa1 da4 shui3
發呆	发呆	fa1 dai1
發電	发电	fa1 dian4
發電場	发电场	fa1 dian4 chang3
發電機	发电机	fa1 dian4 ji1
發電站	发电站	fa1 dian4 zhan4
發抖	发抖	fa1 dou3
發端	发端	fa1 duan1
發放	发放	fa1 fang4
發瘋	发疯	fa1 feng1
發瘋了	发疯了	fa1 feng1 le5
發工資	发工资	fa1 gong1 zi1
發號施令	发号施令	fa1 hao4 shi1 ling4
發橫財	发横财	fa1 heng4 cai2
發揮	发挥	fa1 hui1
發揮能力	发挥能力	fa1 hui1 neng2 li4
發揮影響力	发挥影响力	fa1 hui1 ying3 xiang3 li4
發昏	发昏	fa1 hun1
發積	发积	fa1 ji1
發積變泰	发积变泰	fa1 ji1 bian4 tai4
發跡	发迹	fa1 ji4
發跡變泰	发迹变泰	fa1 ji4
發簡訊	发简讯	fa1 jian3 xun4
發酵	发酵	fa1 jiao4
發酵劑	发酵剂	fa1 jiao4 ji4
發卷子	发卷子	fa1 juan4 zi5
發覺	发觉	fa1 jue2
發睏	发困	fa1 kun4
發牢騷	发牢骚	fa1 lao2 sao1
發霉	发霉	fa1 mei2
發矇	发蒙	fa1 meng1
發怒	发怒	fa1 nu4
發脾氣	发脾气	fa1 pi2 qi5
發熱	发热	fa1 re4
發澀	发涩	fa1 se4
發痧	发痧	fa1 sha1
發射	发射	fa1 she4
發射藥	发射药	fa1 she4 yao4
發生	发生	fa1 sheng1
發生爭執	发生争执	fa1 sheng1 zheng1 zhi2
發誓	发誓	fa1 shi4
發誓賭咒	发誓赌咒	fa1 shi4 du3 zhou4
發送	发送	fa1 song4
發疼	发疼	fa1 teng2
發帖	发帖	fa1 tie1
發痛	发痛	fa1 tong4
發現	发现	fa1 xian4
發祥地	发祥地	fa1 xiang2 di4
發薪	发薪	fa1 xin1
發薪日	发薪日	fa1 xin1 ri4
發薪水	发薪水	fa1 xin1 shui3
發行商	发行商	fa1 xing2 shang1
發芽	发芽	fa1 ya2
發炎	发炎	fa1 yan2
發言	发言	fa1 yan2
發言人	发言人	fa1 yan2 ren2
發揚光大	发扬光大	fa1 yang2 guang1 da4
發音	发音	fa1 yin1
發暈	发晕	fa1 yun4
發展	发展	fa1 zhan3
發展中	发展中	fa1 zhan3 zhong1
發怔	发怔	fa1 zheng4
發作	发作	fa1 zuo4
罰不當罪	罚不当罪	fa2 bu4 dang1 zui4
罰單	罚单	fa2 dan1
罰跪	罚跪	fa2 gui4
罰款	罚款	fa2 kuan3
乏累	乏累	fa2 lei4
伐木	伐木	fa2 mu4
乏人問津	乏人问津	fa2 ren2 wen4 jin1
乏善可陳	乏善可陈	fa2 shan4 ke3 chen2
乏味	乏味	fa2 wei4
閥閱	阀阅	fa2 yue4
法案	法案	fa3 an4
法官	法官	fa3 guan1
法令	法令	fa3 ling4
法律	法律	fa3 lv4
法帖	法帖	fa3 tie4
法庭	法庭	fa3 ting2
法網難逃	法网难逃	fa3 wang3 nan2 tao2
法醫	法医	fa3 yi1
法旨	法旨	fa3 zhi3
法制	法制	fa3 zhi4
法治	法治	fa3 zhi4
髮端	发端	fa4 duan1
髮髻	发髻	fa4 ji4
琺瑯	珐琅	fa4 lang2
琺瑯質	珐琅质	fa4 lang2 zhi4
髮毛	发毛	fa4 mao2
髮式	发式	fa4 shi4
髮刷	发刷	fa4 shua1
髮型	发型	fa4 xing2
番邦	番邦	fan1 bang1
帆布	帆布	fan1 bu4
帆布床	帆布床	fan1 bu4 chuang2
帆布袋	帆布袋	fan1 bu4 dai4
帆船	帆船	fan1 chuan2
翻供	翻供	fan1 gong4
翻江倒海	翻江倒海	fan1 jiang1 dao3 hai3
番將	番将	fan1 jiang4
藩籬	藩篱	fan1 li2
帆檣	帆樯	fan1 qiang2
番茄	番茄	fan1 qie2
番茄醬	番茄酱	fan1 qie2 jiang4
番人	番人	fan1 ren2
翻砂	翻砂	fan1 sha1
翻砂鑄工	翻砂铸工	fan1 sha1 zhu4 gong1
番石榴	番石榴	fan1 shi2 liu2
番薯	番薯	fan1 shu3
藩屬	藩属	fan1 shu3
翻箱倒櫃	翻箱倒柜	fan1 xiang1 dao3 gui4
翻箱倒籠	翻箱倒笼	fan1 xiang1 dao3 long3
翻箱倒篋	翻箱倒箧	fan1 xiang1 dao3 qie4
翻譯	翻译	fan1 yi4
翻譯者	翻译者	fan1 yi4 zhe3
翻閱	翻阅	fan1 yue4
樊籬	樊篱	fan2 li2
繁忙	繁忙	fan2 mang2
繁茂	繁茂	fan2 mao4
蕃茂	蕃茂	fan2 mao4
煩悶	烦闷	fan2 men4
煩惱	烦恼	fan2 nao3
凡人	凡人	fan2 ren2
繁榮	繁荣	fan2 rong2
繁縟	繁缛	fan2 ru4
蕃盛	蕃盛	fan2 sheng4
繁瑣	繁琐	fan2 suo3
繁體	繁体	fan2 ti3
繁文縟節	繁文缛节	fan2 wen2 ru4 jie2
繁文縟禮	繁文缛礼	fan2 wen2 ru4 li3
蕃息	蕃息	fan2 xi1
繁衍	繁衍	fan2 yan3
煩躁	烦躁	fan2 zao4
繁殖	繁殖	fan2 zhi2
蕃滋	蕃滋	fan2 zi1
反敗為勝	反败为胜	fan3 bai4 wei2 sheng4
反比	反比	fan3 bi3
反駁	反驳	fan3 bo2
反哺	反哺	fan3 bu3
反哺之情	反哺之情	fan3 bu3 zhi1 qing2
返潮	返潮	fan3 chao2
反芻動物	反刍动物	fan3 chu2 dong4 wu4
反脣相稽	反唇相稽	fan3 chun2 xiang1 ji1
反脣相譏	反唇相讥	fan3 chun2 xiang1 ji1
反萃取	反萃取	fan3 cui4 qu3
反倒	反倒	fan3 dao4
反動	反动	fan3 dong4
反動份子	反动分子	fan3 dong4 fen4 zi5
反對	反对	fan3 dui4
反而	反而	fan3 er2
反諷	反讽	fan3 feng3
反感	反感	fan3 gan3
反攻倒算	反攻倒算	fan3 gong1 dao4 suan4
返回地面	返回地面	fan3 hui2 di4 mian4
反抗	反抗	fan3 kang4
反饋	反馈	fan3 kui4
反面	反面	fan3 mian4
反面教材	反面教材	fan3 mian4 jiao4 cai2
反面人物	反面人物	fan3 mian4 ren2 wu4
反目	反目	fan3 mu4
反派	反派	fan3 pai4
返璞歸真	返璞归真	fan3 pu2 gui1 zhen1
反切	反切	fan3 qie4
反思	反思	fan3 si1
反彈	反弹	fan3 tan2
反問	反问	fan3 wen4
反響	反响	fan3 xiang3
反省	反省	fan3 xing3
反映	反映	fan3 ying4
反應過度	反应过度	fan3 ying4 guo4 du4
反應過渡	反应过渡	fan3 ying4 guo4 du4
反應兩極	反应两极	fan3 ying4 liang3 ji2
反戰	反战	fan3 zhan4
反戰份子	反战分子	fan3 zhan4 fen4 zi5
反之亦然	反之亦然	fan3 zhi1 yi4 ran2
反制	反制	fan3 zhi4
犯案現場	犯案现场	fan4 an4 xian4 chang3
范本	范本	fan4 ben3
飯缽	饭钵	fan4 bo1
犯不上	犯不上	fan4 bu5 shang4
犯不著	犯不着	fan4 bu5 zhao2
泛槎	泛槎	fan4 cha2
梵剎	梵刹	fan4 cha4
範疇	范畴	fan4 chou2
范畴	範疇	fan4 chou2
犯怵	犯怵	fan4 chu4
犯錯	犯错	fan4 cuo4
犯錯誤	犯错误	fan4 cuo4 wu4
犯得上	犯得上	fan4 de5 shang4
犯得著	犯得着	fan4 de5 zhao2
飯店	饭店	fan4 dian4
販毒	贩毒	fan4 du2
販夫走卒	贩夫走卒	fan4 fu1 zou3 zu2
飯館	饭馆	fan4 guan3
飯後	饭后	fan4 hou4
飯煳了	饭煳了	fan4 hu2 le5
犯賤	犯贱	fan4 jian4
犯賤	犯贱	fan4 jian4
飯局	饭局	fan4 ju2
犯開小差罪	犯开小差罪	fan4 kai1 xiao3 chai1 zui4
泛濫	泛滥	fan4 lan4
範例	范例	fan4 li4
飯量	饭量	fan4 liang4
販賣	贩卖	fan4 mai4
犯牛勁	犯牛劲	fan4 niu2 jin4
飯舖	饭铺	fan4 pu4
犯人	犯人	fan4 ren2
飯廳	饭厅	fan4 ting1
飯糰	饭团	fan4 tuan2
飯碗	饭碗	fan4 wan3
範圍	范围	fan4 wei2
梵文	梵文	fan4 wen2
梵宇	梵宇	fan4 yu3
泛指	泛指	fan4 zhi3
犯罪	犯罪	fan4 zui4
方案	方案	fang1 an4
方便	方便	fang1 bian4
方便麵	方便面	fang1 bian4 mian4
芳草	芳草	fang1 cao3
方程	方程	fang1 cheng2
方程式	方程式	fang1 cheng2 shi4
方法	方法	fang1 fa3
芳菲	芳菲	fang1 fei1
坊間	坊间	fang1 jian1
芳齡	芳龄	fang1 ling2
方面	方面	fang1 mian4
芳名	芳名	fang1 ming2
方式	方式	fang1 shi4
方術	方术	fang1 shu4
芳香	芳香	fang1 xiang1
芳香基	芳香基	fang1 xiang1 ji1
方向	方向	fang1 xiang4
方向	方向	fang1 xiang5
芳心	芳心	fang1 xin1
方言	方言	fang1 yan2
方圓	方圆	fang1 yuan2
方丈	方丈	fang1 zhang4
方舟	方舟	fang1 zhou1
方桌	方桌	fang1 zhuo1
妨礙	妨碍	fang2 ai4
房艙	房舱	fang2 cang1
房產	房产	fang2 chan3
房貸	房贷	fang2 dai4
防盜	防盗	fang2 dao4
防盜措施	防盗措施	fang2 dao4 cuo4 shi1
房地產	房地产	fang2 di4 chan3
房東	房东	fang2 dong1
防腐劑	防腐剂	fang2 fu3 ji4
防寒	防寒	fang2 han2
防洪	防洪	fang2 hong2
防火演習	防火演习	fang2 huo3 yan3 xi2
房價	房价	fang2 jia4
房間	房间	fang2 jian1
房客	房客	fang2 ke4
防澇	防涝	fang2 lao4
防民之口，勝於防川	防民之口，胜于防川	fang2 min2 zhi1 kou3 sheng4 yu2 fang2 chuan1
房奴	房奴	fang2 nu2
房契	房契	fang2 qi4
房舍	房舍	fang2 she4
房事	房事	fang2 shi4
房屋	房屋	fang2 wu1
防務	防务	fang2 wu4
防鏽	防锈	fang2 xiu4
防汛	防汛	fang2 xun4
防止	防止	fang2 zhi3
房子	房子	fang2 zi5
房租	房租	fang2 zu1
紡錠	纺锭	fang3 ding4
彷彿	仿佛	fang3 fu2
訪談	访谈	fang3 tan2
訪問	访问	fang3 wen4
訪問量	访问量	fang3 wen4 liang4
訪問學者	访问学者	fang3 wen4 xue2 zhe3
仿效	仿效	fang3 xiao4
紡織	纺织	fang3 zhi1
放爆仗	放爆仗	fang4 bao4 zhang5
放爆竹	放爆竹	fang4 bao4 zhu2
放鞭炮	放鞭炮	fang4 bian1 pao4
放鞭炮	放鞭炮	fang4 bian1 pao4
放大鏡	放大镜	fang4 da4 jing4
放蕩	放荡	fang4 dang4
放蕩不覊	放荡不羁	fang4 dang4 bu4 ji1
放虎歸山	放虎归山	fang4 hu3 gui1 shan1
放假	放假	fang4 jia4
放開	放开	fang4 kai1
放馬過來	放马过来	fang4 ma3 guo4 lai2
放馬後砲	放马后砲	fang4 ma3 hou4 pao4
放慢	放慢	fang4 man4
放慢腳步	放慢脚步	fang4 man4 jiao3 bu4
放牧	放牧	fang4 mu4
放牛郎	放牛郎	fang4 niu2 lang2
放屁	放屁	fang4 pi4
放棄	放弃	fang4 qi4
放輕鬆	放轻松	fang4 qing1 song1
放晴	放晴	fang4 qing2
放人	放人	fang4 ren2
放手	放手	fang4 shou3
放手去做	放手去做	fang4 shou3 qu4 zuo4
放暑假	放暑假	fang4 shu3 jia4
放肆	放肆	fang4 si4
放鬆	放松	fang4 song1
放心不下	放心不下	fang4 xin1 bu5 xia4
放血	放血	fang4 xue4
放眼	放眼	fang4 yan3
放映	放映	fang4 ying4
放置	放置	fang4 zhi4
放縱	放纵	fang4 zong4
妃嬪	妃嫔	fei1 bin1
飛播	飞播	fei1 bo1
非常	非常	fei1 chang2
飛馳	飞驰	fei1 chi2
飛馳而去	飞驰而去	fei1 chi2 er2 qu4
飛碟	飞碟	fei1 die2
飛蛾	飞蛾	fei1 e2
飛蛾撲火	飞蛾扑火	fei1 e2 pu1 huo3
非法	非法	fei1 fa3
霏霏	霏霏	fei1 fei1
緋紅	绯红	fei1 hong2
飛黃騰達	飞黄腾达	fei1 huang2 teng2 da2
非婚生子女	非婚生子女	fei1 hun1 sheng1 zi3 nv3
飛機場	飞机场	fei1 ji1 chang3
飛機票	飞机票	fei1 ji1 piao4
飛來橫禍	飞来横祸	fei1 lai2 heng4 huo4
非驢非馬	非驴非马	fei1 lv2 fei1 ma3
飛毛腿	飞毛腿	fei1 mao2 tui3
飛盤	飞盘	fei1 pan2
飛禽	飞禽	fei1 qin2
飛禽走獸	飞禽走兽	fei1 qin2 zou3 shou4
妃色	妃色	fei1 se4
非僧非俗	非僧非俗	fei1 seng1 fei1 su2
飛逝	飞逝	fei1 shi4
非他莫屬	非他莫属	fei1 ta1 mo4 shu3
非同小可	非同小可	fei1 tong2 xiao3 ke3
緋聞	绯闻	fei1 wen2
非物質	非物质	fei1 wu4 zhi4
非物質文化	非物质文化	fei1 wu4 zhi4 wen2 hua4
非物質文化遺產	非物质文化遗产	fei1 wu4 zhi4 wen2 hua4 yi2 chan3
飛行	飞行	fei1 xing2
飛簷走壁	飞檐走壁	fei1 yan2 zou3 bi4
飛雁	飞雁	fei1 yan4
鯡魚	鲱鱼	fei1 yu2
飛紮	飞扎	fei1 zha1
非主流文化	非主流文化	fei1 zhu3 liu2 wen2 hua4
妃子	妃子	fei1 zi5
腓骨	腓骨	fei2 gu3
肥料	肥料	fei2 liao4
肥胖	肥胖	fei2 pang4
肥田沃土	肥田沃土	fei2 tian2 wo4 tu3
肥沃	肥沃	fei2 wo4
肥效	肥效	fei2 xiao4
肥效持久	肥效持久	fei2 xiao4 chi2 jiu3
肥育	肥育	fei2 yu4
肥皂	肥皂	fei2 zao4
匪幫	匪帮	fei3 bang1
誹謗	诽谤	fei3 bang4
菲薄	菲薄	fei3 bo2
菲材	菲材	fei3 cai2
悱惻	悱恻	fei3 ce4
悱惻纏綿	悱恻缠绵	fei3 ce4 chan2 mian2
匪巢	匪巢	fei3 chao2
翡翠	翡翠	fei3 cui4
悱發	悱发	fei3 fa1
悱悱	悱悱	fei3 fei3
斐濟	斐济	fei3 ji4
匪軍	匪军	fei3 jun1
菲禮	菲礼	fei3 li3
匪徒	匪徒	fei3 tu2
匪夷所思	匪夷所思	fei3 yi2 suo3 si1
榧子	榧子	fei3 zi5
榧子樹	榧子树	fei3 zi5 shu4
廢除	废除	fei4 chu2
費脣舌	费唇舌	fei4 chun2 she2
沸反盈天	沸反盈天	fei4 fan3 ying2 tian1
狒狒	狒狒	fei4 fei4
沸沸揚揚	沸沸扬扬	fei4 fei4 yang2 yang2
肺腑	肺腑	fei4 fu3
廢話連篇	废话连篇	fei4 hua4 lian2 pian1
吠叫	吠叫	fei4 jiao4
費解	费解	fei4 jie3
費勁	费劲	fei4 jin4
費盡口舌	费尽口舌	fei4 jin4 kou3 she2
費口舌	费口舌	fei4 kou3 she2
肺癆	肺痨	fei4 lao2
廢寢忘食	废寝忘食	fei4 qin2 wang4 shi2
沸騰	沸腾	fei4 teng2
廢鐵	废铁	fei4 tie3
廢物	废物	fei4 wu4
廢墟	废墟	fei4 xu1
費用	费用	fei4 yong4
肺臟	肺脏	fei4 zang4
分崩離析	分崩离析	fen1 beng1 li2 xi1
分辨	分辨	fen1 bian4
分辯	分辩	fen1 bian4
分辨不清	分辨不清	fen1 bian4 bu4 qing1
分辯是非	分辩是非	fen1 bian4 shi4 fei1
分別	分别	fen1 bie2
分賓主坐下	分宾主坐下	fen1 bin1 zhu3 zuo4 xia4
分佈	分布	fen1 bu4
分岔路	分岔路	fen1 cha4 lu4
分寸	分寸	fen1 cun4
分擔工作	分担工作	fen1 dan1 gong1 zuo4
分擔解憂	分担解忧	fen1 dan1 jie3 you1
分道揚鑣	分道扬镳	fen1 dao4 yang2 biao1
芬芳	芬芳	fen1 fang1
紛飛	纷飞	fen1 fei1
紛紛	纷纷	fen1 fen1
吩咐	吩咐	fen1 fu4
分開	分开	fen1 kai1
分類	分类	fen1 lei4
分類法	分类法	fen1 lei4 fa3
分類廣告	分类广告	fen1 lei4 guang3 gao4
紛亂	纷乱	fen1 luan4
分袂	分袂	fen1 mei4
分泌	分泌	fen1 mi4
分娩	分娩	fen1 mian3
分配	分配	fen1 pei4
分歧	分歧	fen1 qi2
酚醛塑料	酚醛塑料	fen1 quan2 su4 liao4
分手	分手	fen1 shou3
分說	分说	fen1 shuo1
氛圍	氛围	fen1 wei2
分文不取	分文不取	fen1 wen2 bu4 qu3
分析	分析	fen1 xi1
分享	分享	fen1 xiang3
分心	分心	fen1 xin1
分憂解勞	分忧解劳	fen1 you1 jie3 lao2
紛紜	纷纭	fen1 yun2
分支	分支	fen1 zhi1
紛至沓來	纷至沓来	fen1 zhi4 ta4 lai2
分鐘	分钟	fen1 zhong1
分子	分子	fen1 zi3
分子式	分子式	fen1 zi3 shi4
墳場	坟场	fen2 chang3
焚毀	焚毁	fen2 hui3
墳墓	坟墓	fen2 mu4
焚燒	焚烧	fen2 shao1
粉筆	粉笔	fen3 bi3
粉刺	粉刺	fen3 ci4
粉黛	粉黛	fen3 dai4
粉紅色	粉红色	fen3 hong2 se4
粉面	粉面	fen3 mian4
粉末	粉末	fen3 mo4
粉身碎骨	粉身碎骨	fen3 shen1 sui4 gu3
粉絲	粉丝	fen3 si1
粉妝玉琢	粉妆玉琢	fen3 zhuang1 yu4 zhuo2
奮鬥	奋斗	fen4 dou4
糞堆	粪堆	fen4 dui1
奮發圖強	奋发图强	fen4 fa1 tu2 qiang2
奮發有為	奋发有为	fen4 fa1 you3 wei2
忿忿不平	忿忿不平	fen4 fen4 bu4 ping2
憤憤不平	愤愤不平	fen4 fen4 bu4 ping2
憤恚	愤恚	fen4 hui4
分量	分量	fen4 liang5
憤怒	愤怒	fen4 nu4
憤世嫉俗	愤世嫉俗	fen4 shi4 ji2 su2
奮勇	奋勇	fen4 yong3
分緣	分缘	fen4 yuan2
份子	分子	fen4 zi5
風暴	风暴	feng1 bao4
封閉	封闭	feng1 bi4
風痺	风痹	feng1 bi4
風波	风波	feng1 bo1
丰采	丰采	feng1 cai3
風餐露宿	风餐露宿	feng1 can1 lu4 su4
