俄 : e2
鹅 : e2
额 : e2
恶 : e4
饿 : e4
鳄 : e4
恩 : en1
儿 : er2
而 : er2
尔 : er3
耳 : er3
二 : er4
发 : fa1
乏 : fa2
伐 : fa2
罚 : fa2
阀 : fa2
法 : fa3
帆 : fan1
番 : fan1
翻 : fan1
凡 : fan2
烦 : fan2
繁 : fan2
反 : fan3
返 : fan3
犯 : fan4
泛 : fan4
饭 : fan4
范 : fan4
贩 : fan4
方 : fang1
坊 : fang1
芳 : fang1
防 : fang2
妨 : fang2
房 : fang2
肪 : fang2
仿 : fang3
访 : fang3
纺 : fang3
放 : fang4
飞 : fei1
非 : fei1
啡 : fei1
菲 : fei1
肥 : fei2
废 : fei4
沸 : fei4
肺 : fei4
费 : fei4
分 : fen1
纷 : fen1
芬 : fen1
坟 : fen2
粉 : fen3
份 : fen4
奋 : fen4
愤 : fen4
粪 : fen4
丰 : feng1
风 : feng1
枫 : feng1
封 : feng1
疯 : feng1
峰 : feng1
锋 : feng1
蜂 : feng1
冯 : feng2
逢 : feng2
缝 : feng2
凤 : feng4
奉 : feng4
佛 : fo2
否 : fou3
夫 : fu1
肤 : fu1
孵 : fu1
弗 : fu2
伏 : fu2
扶 : fu2
服 : fu2
浮 : fu2
符 : fu2
幅 : fu2
福 : fu2
辐 : fu2
蝠 : fu2
抚 : fu3
府 : fu3
辅 : fu3
腐 : fu3
父 : fu4
付 : fu4
妇 : fu4
负 : fu4
附 : fu4
复 : fu4
赴 : fu4
副 : fu4
傅 : fu4
富 : fu4
赋 : fu4
腹 : fu4
覆 : fu4
该 : gai1
改 : gai3
钙 : gai4
盖 : gai4
溉 : gai4
概 : gai4
干 : gan1
甘 : gan1
杆 : gan1
肝 : gan1
赶 : gan3
敢 : gan3
感 : gan3
刚 : gang1
岗 : gang3
纲 : gang1
缸 : gang1
钢 : gang1
港 : gang3
高 : gao1
搞 : gao3
稿 : gao3
告 : gao4
戈 : ge1
哥 : ge1
胳 : ge1
鸽 : ge1
割 : ge1
歌 : ge1
阁 : ge2
革 : ge2
格 : ge2
葛 : ge3
隔 : ge2
个 : ge4
各 : ge4
给 : ji3
根 : gen1
跟 : gen1
更 : geng4
耕 : geng1
工 : gong1
弓 : gong1
公 : gong1
功 : gong1
攻 : gong1
供 : gong1
宫 : gong1
恭 : gong1
巩 : gong3
